iter	Passed	Remaining
774	1008	292
775	1009	291
776	1010	290
777	1011	288
778	1013	287
779	1014	286
780	1015	284
781	1016	283
782	1018	282
783	1019	280
784	1020	279
785	1021	278
786	1023	276
787	1024	275
788	1025	274
789	1026	272
790	1027	271
791	1028	270
792	1029	268
793	1031	267
794	1032	266
795	1033	264
796	1034	263
797	1035	262
798	1037	260
799	1038	259
800	1039	258
801	1041	257
802	1042	255
803	1043	254
804	1045	253
805	1046	251
806	1047	250
807	1048	249
808	1049	247
809	1050	246
810	1052	245
811	1053	243
812	1054	242
813	1055	241
814	1056	239
815	1057	238
816	1059	237
817	1060	235
818	1061	234
819	1062	233
820	1063	231
821	1064	230
822	1065	229
823	1066	227
824	1068	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1073	219
830	1075	218
831	1076	217
832	1077	216
833	1078	214
834	1079	213
835	1081	212
836	1082	210
837	1083	209
838	1084	208
839	1085	206
840	1086	205
841	1088	204
842	1089	202
843	1090	201
844	1091	200
845	1092	198
846	1093	197
847	1094	196
848	1096	194
849	1097	193
850	1098	192
851	1099	191
852	1100	189
853	1102	188
854	1103	187
855	1105	185
856	1106	184
857	1107	183
858	1108	181
859	1109	180
860	1110	179
861	1112	178
862	1113	176
863	1114	175
864	1115	174
865	1117	172
866	1118	171
867	1119	170
868	1120	168
869	1121	167
870	1122	166
871	1123	164
872	1124	163
873	1125	162
874	1126	160
875	1127	159
876	1128	158
877	1129	156
878	1130	155
879	1131	154
880	1132	152
881	1133	151
882	1134	150
883	1135	149
884	1136	147
885	1137	146
886	1138	145
887	1139	143
888	1140	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1146	135
894	1147	134
895	1148	133
896	1149	131
897	1150	130
898	1151	129
899	1152	128
900	1153	126
901	1154	125
902	1155	124
903	1156	122
904	1157	121
905	1158	120
906	1159	118
907	1160	117
908	1161	116
909	1162	114
910	1163	113
911	1164	112
912	1165	111
913	1166	109
914	1167	108
915	1168	107
916	1169	105
917	1170	104
918	1171	103
919	1173	102
920	1174	100
921	1175	99
922	1176	98
923	1177	96
924	1178	95
925	1179	94
926	1180	92
927	1181	91
928	1182	90
929	1184	89
930	1185	87
931	1186	86
932	1187	85
933	1188	83
934	1189	82
935	1190	81
936	1191	80
937	1192	78
938	1193	77
939	1194	76
940	1195	74
941	1196	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1201	67
947	1202	65
948	1203	64
949	1204	63
950	1205	62
951	1207	60
952	1208	59
953	1209	58
954	1210	57
955	1211	55
956	1212	54
957	1213	53
958	1214	51
959	1215	50
960	1216	49
961	1217	48
962	1218	46
963	1219	45
964	1220	44
965	1221	43
966	1222	41
967	1223	40
968	1224	39
969	1226	37
970	1227	36
971	1228	35
972	1229	34
973	1230	32
974	1231	31
975	1233	30
976	1234	29
977	1235	27
978	1236	26
979	1237	25
980	1238	23
981	1239	22
982	1240	21
983	1241	20
984	1242	18
985	1243	17
986	1245	16
987	1246	15
988	1247	13
989	1248	12
990	1249	11
991	1250	10
992	1251	8
993	1252	7
994	1253	6
995	1254	5
996	1255	3
997	1256	2
998	1258	1
999	1259	0
